Publication Type,Authors,Article Title,Source Title,Publication Year,Author Keywords,Abstract,WoS Categories,Research Areas,Open Access,Satellite,Application,Domain,Title_lower,ML Technique,Complex,Accuracy (%),F1-score (%),Precision (%),Recall (%),Producer accuracy (%),User accuracy (%),Pixel accuracy,Kappa (%),IoU (%),MIoU (%),Dice (%),R-squared,RMSE,MAE,Parameter
J,"Seydi, ST; Amani, M; Ghorbanian, A",A Dual Attention Convolutional Neural Network for Crop Classification Using Time-Series Sentinel-2 Imagery,REMOTE SENSING,2022,crop mapping; deep learning; convolutional neural networks (CNN); attention modules (AM); dual attention CNN; Sentinel-2; multi-temporal,"Accurate and timely mapping of crop types and having reliable information about the cultivation pattern/area play a key role in various applications, including food security and sustainable agriculture management. Remote sensing (RS) has extensively been employed for crop type classification. However, accurate mapping of crop types and extents is still a challenge, especially using traditional machine learning methods. Therefore, in this study, a novel framework based on a deep convolutional neural network (CNN) and a dual attention module (DAM) and using Sentinel-2 time-series datasets was proposed to classify crops. A new DAM was implemented to extract informative deep features by taking advantage of both spectral and spatial characteristics of Sentinel-2 datasets. The spectral and spatial attention modules (AMs) were respectively applied to investigate the behavior of crops during the growing season and their neighborhood properties (e.g., textural characteristics and spatial relation to surrounding crops). The proposed network contained two streams: (1) convolution blocks for deep feature extraction and (2) several DAMs, which were employed after each convolution block. The first stream included three multi-scale residual convolution blocks, where the spectral attention blocks were mainly applied to extract deep spectral features. The second stream was built using four multi-scale convolution blocks with a spatial AM. In this study, over 200,000 samples from six different crop types (i.e., alfalfa, broad bean, wheat, barley, canola, and garden) and three non-crop classes (i.e., built-up, barren, and water) were collected to train and validate the proposed framework. The results demonstrated that the proposed method achieved high overall accuracy and a Kappa coefficient of 98.54% and 0.981, respectively. It also outperformed other state-of-the-art classification methods, including RF, XGBOOST, R-CNN, 2D-CNN, 3D-CNN, and CBAM, indicating its high potential to discriminate different crop types.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Crop classification,Agriculture,a dual attention convolutional neural network for crop classification using time-series sentinel-2 imagery,Classification,no,97.45,,,,,,,96.8,,,,,,,
C,"Phan, A; Takejima, K; Hirakawa, T; Fukui, H","FOREST-RELATED SDG ISSUES MONITORING FOR DATA-SCARCE REGIONS EMPLOYING MACHINE LEARNING AND REMOTE SENSING - A CASE STUDY FOR ENA CITY, JAPAN",2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022),2022,Forest; Tree species; Tree age; SDG; CNN; Sentinel 1/2; 3D Atrous Convolution; Ena City,"We proposed a combined machine learning approach with a deep convolutional neural network (CNN) to monitor forest utilization toward Sustainable Development Goals (SDGs) for data-scarce regions. First, we employed the Random Forest (RF) classifier using Google Earth Engine (GEE) for forest mapping. Then, we designed a deep CNN architecture that works for tree species/age mapping from coarse and polygonal ground-truth data. The proposed network has U-shape and comprises 3D Atrous Convolutions. The model was optimized by a weighted cross-entropy loss function. We trained the model with times-series Sentinel 1, 2, and Digital Elevation Model (DEM) data with sparse annotations. Our proposed models achieved 94.5% overall accuracy (OA) for forest mapping, 77.80% (OA) for tree species, and 81.74% (OA) for tree age classification, respectively in Ena city, Japan. The outcome of our study indicates the potential of remote sensing and machine learning in monitoring forest development, conservation, and utilization toward SDGs from coarse ground-truth data. Our source code for the implementation is available at: https://github.com/anhp95/forest_attr_segment","Geosciences, Multidisciplinary; Remote Sensing",Geology; Remote Sensing,yes,Sentinel-2,Land cover map,Vegetation,"forest-related sdg issues monitoring for data-scarce regions employing machine learning and remote sensing - a case study for ena city, japan",Classification,yes,84.68,,,,,,,,,,,,,,
J,S. Yang; L. Gu; X. Li; F. Gao; T. Jiang,Fully Automated Classification Method for Crops Based on Spatiotemporal Deep-Learning Fusion Technology,IEEE Transactions on Geoscience and Remote Sensing,2022,Active learning;Crops;Classification algorithms;Data fusion;Deep learning;Training samples,"Accurate and timely crop mapping is essential for agricultural applications, and deep-learning methods have been applied on a range of remotely sensed data sources to classify crops. In this article, we develop a novel crop classification method based on spatiotemporal deep-learning fusion technology. However, for crop mapping, the selection and labeling of training samples is expensive and time consuming. Therefore, we propose a fully automated training-sample-selection method. First, we design the method according to image processing algorithms and the concept of a sliding window. Second, we develop the Geo-3D convolutional neural network (CNN) and Geo-Conv1D for crop classification using time-series Sentinel-2 imagery. Specifically, we integrate geographic information of crops into the structure of deep-learning networks. Finally, we apply an active learning strategy to integrate the classification advantages of Geo-3D CNN and Geo-Conv1D. Experiments conducted in Northeast China show that the proposed sampling method can reliably provide and label a large number of samples and achieve satisfactory results for different deep-learning networks. Based on the automatic selection and labeling of training samples, the crop classification method based on spatiotemporal deep-learning fusion technology can achieve the highest overall accuracy (OA) with approximately 92.50% as compared with Geo-Conv1D (91.89%) and Geo-3D CNN (91.27%) in the three study areas, indicating that the proposed method is effective and efficient in multi-temporal crop classification.",IEEE Journals,,yes,Sentinel-2,Crop classification,Agriculture,fully automated classification method for crops based on spatiotemporal deep-learning fusion technology,Classification,no,91.27,,,,,,,,,,,,,,
J,"Teimouri, M; Mokhtarzade, M; Baghdadi, N; Heipke, C",Fusion of time-series optical and SAR images using 3D convolutional neural networks for crop classification,GEOCARTO INTERNATIONAL,2022,Crop classification; fusion; time-series radar images; time-series optical images; 3D-CNN,"Remote sensing is a most promising technique for providing crop maps, thanks to the development of satellite images at various temporal and spatial resolutions. Three-dimensional (3D) convolutional neural networks (CNNs) have the potential to provide rich features that represent the spatial and temporal patterns of crops when applied to time series. This study presents a novel 3D-CNN framework for classifying crops that is based on the fusion of radar and optical time series and also fully exploits 3D spatial-temporal information. To extract deep convolutional maps, the proposed technique uses one separate sequence for each time series dataset. To determine the label of each pixel, the extracted feature maps are passed to the concatenating layer and subsequent transmitted to the sequential fully connected layers. The proposed approach not only takes advantage of CNNs, i.e. automatic feature extraction, but also discovers discriminative feature maps in both, spatial and temporal dimensions and preserves the growth dynamics of crop cycles. An overall accuracy of 91.3% and a kappa coefficient of 89.9% confirm the proposed method's potential. It is also shown that the suggested approach outperforms other methods.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,no,Sentinel-2,Crop classification,Agriculture,fusion of time-series optical and sar images using 3d convolutional neural networks for crop classification,Classification,no,91.3,,,,,,,89.9,,,,,,,
J,"Saralioglu, E; Gungor, O",Semantic segmentation of land cover from high resolution multispectral satellite images by spectral-spatial convolutional neural network,GEOCARTO INTERNATIONAL,2022,Remote sensing; classification; deep learning; semantic segmentation,"Research to improve the accuracy of very high-resolution satellite image classification algorithms is still one of the hot topics in the field of remote sensing. Successful results of deep learning methods in areas such as image classification and object detection have led to the application of these methods to remote sensing problems. Recently, Convolutional Neural Networks (CNNs) are among the most common deep learning methods used in image classification, however, the use of CNN's in satellite image classification is relatively new. Due to the high computational complexity of 3D CNNs, which aim to extract both spatial and spectral information, 2D CNNs focussing on the extraction of spatial information are often preferred. High-resolution satellite images, however, contain crucial spectral information as well as spatial information. In this study, a 3D-2D CNN model using both spectral and spatial information was applied to extract more accurate land cover information from very high-resolution satellite images. The model was applied on a Worldview-2 satellite image including agricultural product areas such as tea, hazelnut groves and land use classes such as buildings and roads. The results of the CNN based model were also compared against those of the Support Vector Machine (SVM) and Random Forest (RF) algorithms. The post-classification accuracies were obtained using 800 control points generated by a web interface created for crowdsourcing purposes. The classification accuracy was 95.6% for the 3D-2D CNN model, 89.2% for the RF and 86.4% for the SVM.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,no,WorldView-2,Semantic segmentation of land cover,Vegetation,semantic segmentation of land cover from high resolution multispectral satellite images by spectral-spatial convolutional neural network,Segmentation,yes,95.6,,,,,,,,,,,,,,
J,"Ball, JGC; Petrova, K; Coomes, DA; Flaxman, S",Using deep convolutional neural networks to forecast spatial patterns of Amazonian deforestation,METHODS IN ECOLOGY AND EVOLUTION,2022,Amazon; artificial intelligence; convolutional neural networks; deep learning; deforestation forecasting; machine learning; spatial forecasting; tropical forests,"1.Tropical forests are subject to diverse deforestation pressures while their conservation is essential to achieve global climate goals. Predicting the location of deforestation is challenging due to the complexity of the natural and human systems involved but accurate and timely forecasts could enable effective planning and on-the-ground enforcement practices to curb deforestation rates. New computer vision technologies based on deep learning can be applied to the increasing volume of Earth observation data to generate novel insights and make predictions with unprecedented accuracy. 2. Here, we demonstrate the ability of deep convolutional neural networks (CNNs) to learn spatiotemporal patterns of deforestation from a limited set of freely available global data layers, including multispectral satellite imagery, the Hansen maps of annual forest change (2001-2020) and the ALOS PALSAR digital surface model, to forecast deforestation (2021). We designed four model architectures, based on 2D CNNs, 3D CNNs, and Convolutional Long Short-Term Memory (ConvLSTM) Recurrent Neural Networks (RNNs), to produce spatial maps that indicate the risk to each forested pixel (similar to 30 m) in the landscape of becoming deforested within the next year. They were trained and tested on data from two similar to 80,000 km(2) tropical forest regions in the Southern Peruvian Amazon. 3. The networks could predict the location of future forest loss to a high degree of accuracy (F-1 = 0.58-0.71). Our best performing model (3D CNN) had the highest pixel-wise accuracy (F-1 = 0.71) when validated on 2020 forest loss (2014-2019 training). Visual interpretation of the mapped forecasts indicated that the network could automatically discern the drivers of forest loss from the input data. For example, pixels around new access routes (e.g. roads) were assigned high risk, whereas this was not the case for recent, concentrated natural loss events (e.g. remote landslides). 4. Convolutional neural networks can harness limited time-series data to predict near-future deforestation patterns, an important step in harnessing the growing volume of satellite remote sensing data to curb global deforestation. The modelling framework can be readily applied to any tropical forest location and used by governments and conservation organisations to prevent deforestation and plan protected areas.",Ecology,Environmental Sciences & Ecology,yes,Landsat-7,Deforestation,Geohazards,using deep convolutional neural networks to forecast spatial patterns of amazonian deforestation,Classification,no,,74.81,74.8,74.81,,,,,,,,,,,
J,"Zhou, XY; Zhou, WZ; Li, F; Shao, ZL; Fu, XL",Vegetation Type Classification Based on 3D Convolutional Neural Network Model: A Case Study of Baishuijiang National Nature Reserve,FORESTS,2022,vegetation types; classification; 3D convolutional neural network; Baishuijiang National Nature Reserve,"Efficient and accurate vegetation type extraction from remote sensing images can provide decision makers with basic forest cover and land use information, and provides a reliable basis for long-term monitoring. With the development of deep learning, the convolutional neural network (CNN) has been used successfully to classify tree species in many studies, but CNN models have rarely been applied in the classification of vegetation types on larger scales. To evaluate the performance of CNN models in the classification of vegetation types, this paper compared the classification accuracy of nine dominant land cover types in Baishuijiang National Nature Reserve with four models: 3D-CNN, 2D-CNN, JSSAN (joint spatial-spectral attention network) and Resnet18, using sentinel-2A data. Comparing the difference in classification accuracy between the direct use of raw sentinel images and fused feature indices sentinel images, the results showed that adding feature indices can improve the overall accuracy of the model. After fusing the characteristic bands, the accuracy of the four models was improved significantly, by 5.46-19.33%. The best performing 3D-CNN model achieved the highest classification accuracy with an overall accuracy of 95.82% and a kappa coefficient of 95.07%. In comparison, 2D-CNN achieved an overall accuracy of 79.07% and a kappa coefficient of 75.44%, JSSAN achieved an overall accuracy of 81.67% and a kappa coefficient of 78.56%, and Resnet18 achieved an overall accuracy of 93.61% and a kappa coefficient of 92.45%. The results showed that the 3D-CNN model can effectively capture vegetation type cover changes from broad-leaved forests at lower elevation, to shrublands and grasslands at higher elevation, across a range spanning 542-4007 m. In experiments using a small amount of sample data, 3D-CNN can better incorporate spatial-spectral information and is more effective in distinguishing the performance of spectrally similar vegetation types, providing an efficient and novel approach to classifying vegetation types in nature reserves with complex conditions.",Forestry,Forestry,yes,Sentinel-2,Vegetation type classification,Vegetation,vegetation type classification based on 3d convolutional neural network model: a case study of baishuijiang national nature reserve,Classification,no,95.82,,,,,,,95.07,,,,,,,
J,Jamali A.; Mahdianpari M.; Brisco B.; Mao D.; Salehi B.; Mohammadimanesh F.,3DUNetGSFormer: A deep learning pipeline for complex wetland mapping using generative adversarial networks and Swin transformer,Ecological Informatics,2022,Convolutional neural networks; Deep learning; Generative adversarial network; Swin transformer; Vision transformers; Wetland mapping,"Many ecosystems, particularly wetlands, are significantly degraded or lost as a result of climate change and anthropogenic activities. Simultaneously, developments in machine learning, particularly deep learning methods, have greatly improved wetland mapping, which is a critical step in ecosystem monitoring. Yet, present deep and very deep models necessitate a greater number of training data, which are costly, logistically challenging, and time-consuming to acquire. Thus, we explore and address the potential and possible limitations caused by the availability of limited ground-truth data for large-scale wetland mapping. To overcome this persistent problem for remote sensing data classification using deep learning models, we propose 3D UNet Generative Adversarial Network Swin Transformer (3DUNetGSFormer) to adaptively synthesize wetland training data based on each class's data availability. Both real and synthesized training data are then imported to a novel deep learning architecture consisting of cutting-edge Convolutional Neural Networks and vision transformers for wetland mapping. Results demonstrated that the developed wetland classifier obtained a high level of kappa coefficient, average accuracy, and overall accuracy of 96.99%, 97.13%, and 97.39%, respectively, for the data in three pilot sites in and around Grand Falls-Windsor, Avalon, and Gros Morne National Park located in Canada. The results show that the proposed methodology opens a new window for future high-quality wetland data generation and classification. The developed codes are available at https://github.com/aj1365/3DUNetGSFormer. Â© 2022 The Authors",Article,,yes,Sentinel-2,Wetland mapping,Water,3dunetgsformer: a deep learning pipeline for complex wetland mapping using generative adversarial networks and swin transformer,Classification,yes,97.39,,,,,,,96.99,,,,,,,
J,"Jamali, A; Mahdianpari, M; Mohammadimanesh, F; Homayouni, S",A deep learning framework based on generative adversarial networks and vision transformer for complex wetland classification using limited training samples,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,2022,Generative adversarial network; Convolutional neural network; Wetland classification; New Brunswick; Vision Transformer (ViT); Deep learning,"Wetlands have long been recognized among the most critical ecosystems globally, yet their numbers quickly diminish due to human activities and climate change. Thus, large-scale wetland monitoring is essential to provide efficient spatial and temporal insights for resource management and conservation plans. However, the main challenge is the lack of enough reference data for accurate large-scale wetland mapping. As such, the main objective of this study was to investigate the efficient deep-learning models for generating high-resolution and temporally rich training datasets for wetland mapping. The Sentinel-1 and Sentinel-2 satellites from the Euro-pean Copernicus program deliver radar and optical data at a high temporal and spatial resolution. These Earth observations provide a unique source of information for more precise wetland mapping from space. The second objective was to investigate the efficiency of vision transformers for complex landscape mapping. As such, we proposed a 3D Generative Adversarial Network (3D GAN) to best achieve these two objectives of synthesizing training data and a Vision Transformer model for large-scale wetland classification. The proposed approach was tested in three different study areas of Saint John, Sussex, and Fredericton, New Brunswick, Canada. The results showed the ability of the 3D GAN to stimulate and increase the number of training data and, as a result, increase the accuracy of wetland classification. The quantitative results also demonstrated the capability of jointly using data augmentation, 3D GAN, and Vision Transformer models with overall accuracy, average accuracy, and Kappa index of 75.61%, 73.4%, and 71.87%, respectively, using a disjoint data sampling strategy. Therefore, the proposed deep learning method opens a new window for large-scale remote sensing wetland classification.",Remote Sensing,Remote Sensing,yes,Sentinel-2,Wetland classification,Water,a deep learning framework based on generative adversarial networks and vision transformer for complex wetland classification using limited training samples,Classification,yes,75.61,,,,,,,71.81,,,,,,,
J,"Fei, TH; Huang, BH; Wang, X; Zhu, JX; Chen, Y; Wang, HZ; Zhang, WM",A Hybrid Deep Learning Model for the Bias Correction of SST Numerical Forecast Products Using Satellite Data,REMOTE SENSING,2022,SST; bias correction; deep learning; ConvLSTM; 3D-C BAM,"Sea surface temperature (SST) has important practical value in ocean related fields. Numerical prediction is a common method for forecasting SST at present. However, the forecast results produced by the numerical forecast models often deviate from the actual observation data, so it is necessary to correct the bias of the numerical forecast products. In this paper, an SST correction approach based on the Convolutional Long Short-Term Memory (ConvLSTM) network with multiple attention mechanisms is proposed, which considers the spatio-temporal relations in SST data. The proposed model is appropriate for correcting SST numerical forecast products by using satellite remote sensing data. The approach is tested in the region of the South China Sea and reduces the root mean squared error (RMSE) to 0.35 degrees C. Experimental results reveal that the proposed approach is significantly better than existing models, including traditional statistical methods, machine learning based methods, and deep learning methods.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,AVHRR,Bias Correction of SST (sea surface temperature),Water,a hybrid deep learning model for the bias correction of sst numerical forecast products using satellite data,Regression,yes,,,,,,,,,,,,,0.352,0.2641,SST (degrees)
J,"Seydi, ST; Saeidi, V; Kalantar, B; Ueda, N; van Genderen, JL; Maskouni, FH; Aria, FA",Fusion of the Multisource Datasets for Flood Extent Mapping Based on Ensemble Convolutional Neural Network (CNN) Model,JOURNAL OF SENSORS,2022,,"Floods, as one of the natural hazards, can affect the environment, damage the infrastructures, and threaten human lives. Due to climate change and anthropogenic activities, floods occur in high frequency all over the world. Therefore, mapping of the flood areas is of prime importance in disaster management. This research presents a novel framework for flood area mapping based on heterogeneous remote sensing (RS) datasets. The proposed framework fuses the synthetic aperture radar (SAR), optical, and altimetry datasets for mapping flood areas, and it is applied in three main steps: (1) preprocessing, (2) deep feature extraction based on multiscale residual kernel convolution and convolution neural network's (CNN) parameter optimization by fusing the datasets, and (3) flood detection based on the trained model. This research exploits two large-scale area datasets for mapping the flooded areas in Golestan and Khuzestan provinces, Iran. The results show that the proposed methodology has a high performance in flood area detection. The visual and numerical analyses verify the effectiveness and ability of the proposed method to detect the flood areas with an overall accuracy (OA) higher than 98% in both study areas. Finally, the efficiency of the designed architecture was verified by hybrid-CNN and 3D-CNN methods.","Engineering, Electrical & Electronic; Instruments & Instrumentation",Engineering; Instruments & Instrumentation,yes,Sentinel-2,Flood extent mapping,Water,fusion of the multisource datasets for flood extent mapping based on ensemble convolutional neural network (cnn) model,Classification,no,87.68,59.02,46.46,87.8,,,,,,,,,,,
J,"Wang, L; Wang, XY; Zhao, ZY; Wu, YX; Xu, JP; Zhang, HY; Yu, JB; Sun, Q; Bai, YT",MULTI-FACTOR STATUS PREDICTION BY 4D FRACTAL CNN BASED ON REMOTE SENSING IMAGES,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,2022,Fractal Net; 4D CNN; Status Prediction; Remote Sensing Images; Eutrophication,"With the acceleration of industrialization and urbanization, most lakes and reservoirs have been in eutrophication state. Eutrophication of water body will produce a series of environmental problems, among which cyanobacteria bloom is one of the most studied and seriously polluted problems. It is of great significance to effectively control the occurrence of cyanobacteria blooms by predicting and simulating the outbreak process of cyanobacteria blooms and accurately forecasting the relevant governance departments. However, there are two problems in the existing analysis of algal blooms: on the one hand, it is difficult to consider the impact of other factors on cyanobacteria blooms by taking chlorophyll concentration as the main influencing factor, and it is also unable to determine the relationship between various factors. On the other hand, only based on the field monitoring data research, lack of comprehensive analysis of the whole water area. The remote sensing image can reflect the change of the whole water area, but the traditional analysis method is difficult to deal with the massive remote sensing data effectively. In this study, eutrophication level was used as characterization index of cyanobacteria bloom, and the remote sensing image and its inversion map were taken as the main research data, and a new method of cyanobacteria bloom prediction based on four-dimensional (4D) fractal CNN was proposed. The prediction model uses 4D fractal CNN to extract the features of multi factor remote sensing images, capture the temporal and spatial characteristics and the interaction between multiple factors, and predict the eutrophication level of water body. In this study, a total of 216 remote sensing images of Taihu Lake Basin were selected from 29 groups with fine weather from 2009 to 2010 obtained by MODIS satellite. The simulation results show that the method proposed in this paper has excellent prediction performance, and the accuracy rate of 85.71% is better than that of common 3D CNN and 4D CNN models.","Mathematics, Interdisciplinary Applications; Multidisciplinary Sciences",Mathematics; Science & Technology - Other Topics,yes,MODIS ,Multi-factor status prediction,Water,multi-factor status prediction by 4d fractal cnn based on remote sensing images,Segmentation,no,64.29,,,,,,,,,,,,,,
J,"Jamali, A; Mahdianpari, M","Swin Transformer and Deep Convolutional Neural Networks for Coastal Wetland Classification Using Sentinel-1, Sentinel-2, and LiDAR Data",REMOTE SENSING,2022,Swin transformer; 3D convolutional neural network; coastal wetlands; New Brunswick; random forest; support vector machine; deep learning,"The use of machine learning algorithms to classify complex landscapes has been revolutionized by the introduction of deep learning techniques, particularly in remote sensing. Convolutional neural networks (CNNs) have shown great success in the classification of complex high-dimensional remote sensing imagery, specifically in wetland classification. On the other hand, the state-of-the-art natural language processing (NLP) algorithms are transformers. Although the transformers have been studied for a few remote sensing applications, the integration of deep CNNs and transformers has not been studied, particularly in wetland mapping. As such, in this study, we explore the potential and possible limitations to be overcome regarding the use of a multi-model deep learning network with the integration of a modified version of the well-known deep CNN network of VGG-16, a 3D CNN network, and Swin transformer for complex coastal wetland classification. Moreover, we discuss the potential and limitation of the proposed multi-model technique over several solo models, including a random forest (RF), support vector machine (SVM), VGG-16, 3D CNN, and Swin transformer in the pilot site of Saint John city located in New Brunswick, Canada. In terms of F-1 score, the multi-model network obtained values of 0.87, 0.88, 0.89, 0.91, 0.93, 0.93, and 0.93 for the recognition of shrub wetland, fen, bog, aquatic bed, coastal marsh, forested wetland, and freshwater marsh, respectively. The results suggest that the multi-model network is superior to other solo classifiers from 3.36% to 33.35% in terms of average accuracy. Results achieved in this study suggest the high potential for integrating and using CNN networks with the cutting-edge transformers for the classification of complex landscapes in remote sensing.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Wetland classification,Water,"swin transformer and deep convolutional neural networks for coastal wetland classification using sentinel-1, sentinel-2, and lidar data",Classification,no,85.38,85.64,88.55,83.82,,,,82.13,,,,,,,
J,"Liu, Mengmeng; Liu, Jiping; Xu, Shenghua; Chen, Cai; Bao, Shuai; Wang, Zhuolu; Du, Jun",3DCNN landslide susceptibility considering spatial-factor features,FRONTIERS IN ENVIRONMENTAL SCIENCE,2023,3DCNN; spatial-factor features; landslide susceptibility; trigger factos; scale comparison,"Effective landslide disaster risk management contributes to sustainable development. A useful method for emergency management and landslide avoidance is Landslide Susceptibility Mapping (LSM). The statistical landslide susceptibility prediction model based on slope unit ignores the re-lationship between landslide triggering factors and spatial characteristics. It disregards the influence of adjacent image elements around the slope-unit element. Therefore, this paper proposes a hardwired kernels-3DCNN approach to LSMs considering spatial-factor features. This method effectively solved the problem of low dimensionality of 3D convolution in the hazard factor layer by combining Prewitt operators to enhance the generation of multi-level 3D cube input data sets. The susceptibility value of the target area was then calculated using a 3D convolution to extract spatial and multi-factor features between them. A geospatial dataset of 402 landslides in Xiangxi Tujia and Miao Autonomous Prefecture, Hunan Province, China, was created for this study. Nine landslide trigger factors, including topography and geomorphology, stratigraphic lithology, rainfall, and human influences, were employed in the LSM. The research area's pixel points' landslide probabilities were then estimated by the training model, yielding the sensitivity maps. According to the results of this study, the 3DCNN model performs better when spatial information are included and trigger variables are taken into account, as shown by the high values of the area under the receiver operating characteristic curve (AUC) and other quantitative metrics. The proposed model outperforms CNN and SVM in AUC by 4.3% and 5.9%, respectively. Thus, the 3DCNN model, with the addition of spatial attributes, effectively improves the prediction accuracy of LSM. At the same time, this paper found that the model performance of the proposed method is related to the actual space size of the landslide body by comparing the impact of input data of different scales on the proposed method.",Environmental Sciences,Environmental Sciences & Ecology,yes,Landsat-8,Landslide suspectibility,Geohazards,3dcnn landslide susceptibility considering spatial-factor features,Classification,no,,,,,,,,,,,,,,,
J,"Zhao, Xin; Ma, Yi; Xiao, Yanfang; Liu, Jianqiang; Ding, Jing; Ye, Xiaomin; Liu, Rongjie",Atmospheric correction algorithm based on deep learning with spatial-spectral feature constraints for broadband optical satellites: Examples from the HY-1C Coastal Zone Imager,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2023,Atmospheric correction; Broadband optical satellite; HY-1C coastal zone imager (CZI); Convolution neural network (CNN); Spatial-spectral feature constraint,"Broadband optical satellites have been widely used for fine monitoring of coastal waters and inland lakes for their high spatial resolution. Atmospheric correction (AC) is one of the essential data processing steps for remote sensing of water environments with high spatial resolution satellites. Most broadband optical satellites, such as HY-1C Coastal Zone Imager (CZI) with a spatial resolution of 50 m, lack of near-infrared and shortwave infrared bands needed for atmospheric correction, making accurate AC difficult. Auxiliary aerosol data is often needed for accurate AC of broadband optical satellite data, which suffers from the differences in spatial resolution and imaging time between auxiliary data and satellite data. Furthermore, existing AC algorithms always perform AC pixel by pixel, which ignores the spatial relationship between adjacent pixels. Taking HY-1C CZI as an example, this paper proposes a novel atmospheric correction algorithm based on deep learning (SSACNet). Considering the inherent spatial-spectral features of satellite images, the SSACNet combines 2D and 3D convolution. The 3D convolution was used to mine the spatial and spectral features of the image and 2D convolution was explored to perform spatial information compensation. The SSACNet was trained and evaluated using the spatio-temporally synchronized dataset of HY-1C CZI and Landsat8 Operational Land Imager (OLI). The evaluation results by in-situ data show that the SSACNet has good performance, with the average correlation coefficient of 0.89, and the absolute percentage deviation (APD) of four bands ranging from 21.53 % to 35.41 %. Compared with the quasisynchronous Landsat8 OLI remote sensing reflectance (Rrs), the APD is less than 10 %. Compared with traditional atmospheric correction algorithms, SSACNet has significantly improved the spatial and spectral information fidelity. In addition, SSACNet also shows good applicability, as it can be used in both clear ocean waters and turbid coastal waters. This study lays a foundation for the quantitative remote sensing of water environment by broadband optical satellites.","Geography, Physical; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Physical Geography; Geology; Remote Sensing; Imaging Science & Photographic Technology,no,"Landsat-8, HY-1C",Atmospheric correction,Others,atmospheric correction algorithm based on deep learning with spatial-spectral feature constraints for broadband optical satellites: examples from the hy-1c coastal zone imager,Regression,yes,,,,,,,,,,,,,,,
